ID,Gender,Grade,Horoscope,Subject,IntExt,OptPest,ScreenTime,Sleep,PhysActive,HrsHomework,SpendTime1,,SpendTime2,Self1,Self2,Career,Superpower
42,male,5,Capricorn,Gym,Extravert,Don't Know,6,8,11,18,18,,sporty,strong,vet,controlling minds,
11,female,4,Leo,Gym,Don't Know,Optimist,1,10,5,0, reading ,,drawing,funny,athletic,swimmer,flying
69,male,4,Aries,Math,Introvert,Pessimist,1,10,70,21,Active,Sport,Sleeping,Intelligent,Athletic,Athlete,Fire
57,male,4,Cancer,History,Introvert,Optimist,1,8,82,8,activeitys,Sport,basket ball,generouse,kind,cop,invincable
89,female,4,Scorpio,Art,Introvert,Optimist,1,9,19,7,Art,,Work,Smart,Sweet,Doctor,Fly
66,female,6,Aries,Gym,Introvert,Optimist,3,10,15,3,Baking,,Shopping,Funny,Shy,Lawyer,Time Travel
43,male,5,Capricorn,Gym,Extravert,Pessimist,4,8,14,5,ball hockey,Sport,being myself,talkative,beyond not annoying,n/a,wishes
1,male,4,Scorpio,Math,Extravert,Optimist,1,7,10,10,baseball,Sport,relaxing,active,competitive,professional baseball player,sonic speed
44,male,5,Taurus,Gym,Extravert,Pessimist,1,9,12,1,baseball,Sport,sleeping,n/a,n/a,n/a,speed
176,male,6,Aries,Math,Extravert,Pessimist,1,9,22,7,basketball,Sport,video games,fun,cool,doctor,super speed
106,female,7,Cancer,Gym,Extravert,Optimist,4,7,10,0,Being active,Sport,talking,funny,confused,surgeon,Read minds
21,female,5,Cancer,Art,Introvert,Optimist,2,9,2,1,bike ,Sport,soccer,quite,pretty,vet,invisable
127,male,6,Aries,Gym,Introvert,Pessimist,6,8,12,4,Code,,Bike,Witty,Condesending,Computer Scientist,Cunjuring
83,female,4,Scorpio,Art,Don't Know,Don't Know,0,10,2,1,computer games,,friends,art,cats,idk,fly
45,female,5,Libra,Science,Don't Know,Optimist,3,8,7,2,crafting,,making things,creative,caring,scientist,wishes
130,male,6,Sagittarius,Math,Introvert,Don't Know,3,9,14,4,D&D,,Fortnite,Smart,Video Game Lover,Teacher,Manipulate the Laws of Phisycs
77,female,4,Cancer,Math,Extravert,Optimist,1,9,36,7,dance,Sole,sports,active,fun,idk,everything (little)
107,male,7,Gemini,History,Extravert,Optimist,2,8,15,2,Dancing,Sole,Hanging with friends,funny,outgoing,vet,physich
72,female,6,Leo,Science,Introvert,Optimist,2,9,7,1,Draw,Sole,Dog,Shy,Embarassed,Speech Therapist,Shape Shifting
81,female,4,Scorpio,Art,Don't Know,Pessimist,1,12,2,1,draw,Sole,crafts,funny,nice,pilot,fly
24,female,6,Taurus,Art,Introvert,Optimist,4,9,6,4,drawing,Sole,ranbowloom ,nice,happy,dessinger,invisible
121,female,8,Pisces,Art,Don't Know,Optimist,3,8,3,1,drawing ,Sole,games,calm,happy,animator,molecular manipulation
177,female,6,Virgo,Science,Extravert,Pessimist,8,7,1,1,eating,NA,video games,lazy,funky,horse rider,teleportation
166,male,6,Cancer,Gym,Extravert,Optimist,3,9,12,3,eating ,NA,play ps4,lazy ,energetic,NFL player,super strength
54,male,5,Scorpio,Gym,Extravert,Optimist,2,7,2,1,family,Social,helpful,greatful,awesome,inventer,speed
144,female,5,Sagittarius,Gym,Don't Know,Optimist,2,8,5,9,family,Social,reading,shy,active,Doctor,to know everything
98,female,5,Sagittarius,Science,Extravert,Pessimist,3,10,11,6,fortnite,NA,shoping,funny,rude,pediatrician,shape shift
119,male,8,Leo,Art,Extravert,Optimist,5,8,15,0,fortnite,NA,friends,the,goat,lawyer,mind reading
65,female,6,Leo,Gym,Introvert,Optimist,1,8,10,3,Friends,Social,Drawing,Weird,Active,Vet,Read Minds
114,female,8,Libra,Math,Extravert,Optimist,18,6,0,4,friends,Social,family,sassy,happy,lawyer,making money out of thin air
116,female,8,Aquarius,Gym,Extravert,Don't Know,5,8,10,0,friends,Social,netflix,athletic,thiccc,proffesional,flight
118,female,8,Aries,Art,Extravert,Don't Know,4,8,4,1,friends,Social,TV,smart,blonde,lawyer,time travel
120,female,8,Taurus,Gym,Extravert,Optimist,5,8,8,0,friends,Social,netflix,smart,nice,actress,control over time
141,male,8,Libra,Art,Extravert,Pessimist,3,8,3,7,friends,Social,Netflix,small,blond,actor/model,reality manipulation
143,male,8,Aquarius,Art,Extravert,Optimist,4,8,18,7,friends,Social,music,laid back,setericle,music industry,speed
167,male,6,Libra,Gym,Extravert,Optimist,5,10,15,2,friends,Social,sports,active ,tall,hockey player,good at everything
70,male,4,Sagittarius,Math,Extravert,Pessimist,3,8,50,0,Games,Gaming,Eating ,Annoying,Awesome,Athlete,Speak Any Language
122,male,8,Gemini,Science,Introvert,Don't Know,5,7,6,0,games,Gaming,eating,overly energetic,impatient,neurosurgeon,flight 
131,male,6,Taurus,Math,Extravert,Optimist,4,7,24,5,Go to the Park,Sport,Fortnite,Smart,Extreverted,Investment Banker,Infinite everything
109,female,7,Sagittarius,Math,Introvert,Optimist,0.5,9,14,12,going to the park,Sport,staying home,Fashionable,awesome,surgeon,Fire powers
88,male,4,Virgo,Art,Extravert,Optimist,2,10,20,7,Guild,NA,Play,Gamer,Sporty,Doctor,invisibility
99,female,5,Libra,Math,Don't Know,Pessimist,3,9,8,6,gymnastics,Sport,youtube,funny,athletic,engineer,phycic
161,female,5,Gemini,Gym,Extravert,Don't Know,2,8,16,6,gymnastics,Sport,talking,extraverted,sassy,lawyer,mind bending
175,female,4,Leo,Science,Don't Know,Don't Know,1,10,9,2,gymnastics,Sport,reading,indecisive,active,gymnast,flying
71,female,6,Cancer,Gym,Extravert,Optimist,1,9,14,1,Hockey,Sport,Friends,Athletic,Amazing,Lawyer,Read Minds
145,female,4,Pisces,Gym,Extravert,Don't Know,1,10,7,0,hockey,Sport,soccer,active,sporty,doctor,fly
147,female,4,Cancer,Gym,Extravert,Optimist,2,10,7,0,hockey,Sport,video games,,weird,cook,all powers
17,male,8,Leo,Science,Introvert,Optimist,8,7,2,0,house,Sole,idk,idk,idk,scientist,invisibility
104,female,7,Leo,Art,Don't Know,Optimist,1,9,2,0.5,IDK,NA,IDK,Human,Person,Nerosurgeon,Fly
137,male,8,Leo,Art,Extravert,Pessimist,3,8,20,2,instagram,Multimedia,sleeping,petty,basic,fashion designer,teleport
32,female,8,Gemini,Science,Don't Know,Don't Know,10,5,5,20,netflix,Multimedia,texting talking,moody,intense,doctor,change probability
33,female,8,Scorpio,Science,Extravert,Don't Know,10,3,7,20,netflix,Multimedia,eating,loud,unpredictable,idk,read minds
53,female,6,Aries,History,Extravert,Optimist,3,9,6,4,netflix,Multimedia,youtube,happy,kind,baker,fly
138,female,8,Aries,Art,Extravert,Optimist,8,7,8,2,Netflix,Multimedia,friends,adventurous,n/a,loyer,teleportation
140,female,8,Gemini,Science,Extravert,Optimist,2,7,21,5,Netflix,Multimedia,friends,cool,cat,model,teleportation
150,female,6,Aries,Art,Extravert,Pessimist,10,2,13,1,netflix,Multimedia,chill,positive,lazy,brain surgen,vampire
151,female,6,Cancer,Gym,Extravert,Don't Know,5,4,8,1,netflix,Multimedia,swim,lazy,pretty,lawyer,vampire
180,male,6,Capricorn,Math,Extravert,Optimist,2,9,10,1,nothing,NA,nothing,fun,energetic,inventor,shape shifting
162,male,5,Capricorn,Gym,Extravert,Optimist,5,3,5,1,origami,Sole,video games,free spirited,creative,computer scientist,mind reading
58,female,4,Pisces,Gym,Introvert,Optimist,1,10,3,0,outside,Active,video games,nice,nice,hockey player,lazer eyes
67,male,6,Capricorn,Gym,Extravert,Optimist,5,9,10,3,Outside,Active,Friends,Chill,Tall,Architect,Control Nature
152,female,5,Pisces,Math,Extravert,Optimist,2,10,6,2,pet project,Social,out side,unsure,smart,vet,fly 
62,Don't Identify,6,Libra,Art,Don't Know,Don't Know,4,12,3,6,Pets,Social,Video Games,Sarcastic,Sassy,Artist,Time and space control
20,female,8,Capricorn,Art,Extravert,Pessimist,3,8,10,5,phone,Multimedia,tv,smart,happy,doctor,teleportation
30,male,6,Gemini,Science,Extravert,Optimist,4,9,9,10,play,Social,tv,talk,awsome,teacher,
90,male,5,Scorpio,Science,Extravert,Optimist,3,10,10,6,Play,Social,Videogames,Active,Smart,Scientist,Teleportation
78,female,4,Leo,Gym,Don't Know,Optimist,1,9,8,4,play w/ friends,Social,read,funny,small,idk,invisible
97,male,5,Libra,Gym,Don't Know,Optimist,1,10,5,1,play with cat,Social,reading,athletic,social,,all powers
184,female,6,Aries,Gym,Extravert,Optimist,2,9,7,0,playing,Sport,playing with animals,hyper,flimsy,happy,super speed
113,male,7,Cancer,Gym,Don't Know,Optimist,5,9,10,6,playing hockey,Sport,playing video games,athletic,smart,Wealthy,
169,female,4,Virgo,Gym,Introvert,Pessimist,1,8,3,1,playing on computer,Gaming,playing with her birds,shy,quiet,interior designer,bend reality
2,female,4,Capricorn,Gym,Extravert,Optimist,1,8,5,0,playing outside,Active,swimming,kind,active,Teacher,power to grant wishes
112,male,7,Taurus,Gym,Don't Know,Pessimist,4,9,28,7,playing soccer,Sport,playing fortnite,athletic,smart,soccer,speed
110,female,7,Gemini,Math,Extravert,Optimist,2,8,4,7,playing sports,Sport,cooking,smart,active,doctor,teleport
178,male,6,Aries,Math,Extravert,Optimist,2,8,10,9,playing sports,Sport,playing with friends,sporty,smart,surgeon,super speed
182,male,6,Sagittarius,Math,Extravert,Optimist,1,11,13,6,playing sports,Sport,reading,nice,smart,enginere,invisibility
76,female,4,Pisces,Art,Don't Know,Optimist,2,11,10,1,playing with dog,Social,dance,funny,awesome,lawyer,teleport
181,female,6,Aries,Gym,Extravert,Pessimist,5,6,7,0,playing with dog,Social,volley ball,agressive,anoying,movue star,teleportation
16,female,8,Cancer,Gym,Introvert,Optimist,5,7,6,3,read,Sole,watch,idk,idk,architect,teleportation
79,male,4,Pisces,Science,Extravert,Pessimist,1,8,72,3,read,Sole,play games,negative,sneaky,author,teleport
82,male,4,Taurus,Math,Extravert,Pessimist,1,11,12,2,read,Sole,video games,angry,awesome,lawyer,teleport
124,female,6,Virgo,Math,Don't Know,Pessimist,4,9,6,14,Read,Sole,Sleep,Bookworm,Annoying,I don't Know,Fire
125,male,6,Gemini,Math,Introvert,Pessimist,3,5,8,2,Read,Sole,Fortnite,Wierd,Crazy,Rich,Rearanging Atoms
128,male,6,Pisces,Science,Introvert,Pessimist,1,9,10,7,Read,Sole,Fortnite,Smart,Sporty,IT Worker,Conjuring
132,female,6,Cancer,Science,Introvert,Optimist,1,9,12,5,Read,Sole,Watch my Fish,Friendly,Shy,Vetranerian,Shape-Shift
23,female,5,Pisces,Art,Extravert,Optimist,1,9,1,8,read ,Sole,bike ,nice,kind,auther,fly
26,female,6,Gemini,Art,Introvert,Pessimist,3,6,14,3,read ,Sole,play,wierd,awkward,rich man,telaport
27,male,6,Libra,Gym,Extravert,Pessimist,1,10,5,2,read ,Sole,play,rebel,small,dessinger,shape shift
29,female,6,Virgo,Math,Don't Know,Pessimist,4,9,14,14,read ,Sole,play,anoying,fun,engenier ,fire
5,male,4,Scorpio,Gym,Don't Know,Don't Know,1,9,10,1,reading,Sole,hanging out,intellegent,strong,engineer,power to answer any question
13,female,4,Taurus,Art,Extravert,Optimist,0,9,5,0,reading,Sole,outside,kind,active,doctor,invisibility
31,female,8,Cancer,Science,Extravert,Optimist,9,8,8,35,reading,Sole,playing games,childish,annoying,vet,fly
34,female,7,Cancer,Art,Introvert,Pessimist,3,9,3,2,reading,Sole,playing games,shy,curious,idk,time travel
36,male,8,Aquarius,Art,Don't Know,Optimist,4,8,7,6,reading,Sole,youtube,quiet,expressive,geneticist,teleport
37,male,8,Taurus,History,Don't Know,Don't Know,5,10,7,8,reading,Sole,playing games,curious,friendly,landscaper,have everything
48,female,5,Taurus,Art,Extravert,Optimist,1,7,5,1,reading,Sole,swimming,optimistic,extravert,doctor,wishes
50,female,5,Sagittarius,Art,Introvert,Don't Know,2,8,8,1,reading,Sole,watching videos,athletic,fidgety,engineer,telepathy
64,female,6,Leo,Math,Don't Know,Don't Know,1,9,2,1,Reading,Sole,Writitng,Quiet,Boring,Doctor,Invisibility
135,female,8,Sagittarius,Science,Extravert,Optimist,2,10,5,7,reading,Sole,swimming,weird,cool,n/a,flight
139,female,8,Capricorn,Gym,Introvert,Pessimist,1,6,1,1,reading,Sole,sleeping,peculiar,sassy,model,mind control
156,female,5,Capricorn,Art,Extravert,Optimist,3,8,7,6,reading,Sole,eating,determined,caring,actress,flying
165,female,6,Leo,History,Introvert,Pessimist,1,8,7,2,reading ,Sole,running ,happy,shy,lawyer,flying
172,female,4,Aries,Math,Introvert,Optimist,1,11,7,1,reading ,Sole,drawing,active ,happy,chef,flying
173,male,4,Aries,Science,Introvert,Pessimist,1,8,9,1,reading ,Sole,technology,calm,funny,robot creator,anything he wants
142,female,8,Capricorn,Gym,Don't Know,Optimist,5,7,14,5,relaxing,Sole,friends,funny,athletic,doctor,pause time
168,female,4,Virgo,Science,Extravert,Optimist,1,10,70,1,road hockey,Sport,friends,short,active,hockey player,invisibility
38,male,7,Virgo,Math,Introvert,Pessimist,2,9,14,4,rubix cubes,Sport,piano,shy,persistent,physisist,teleport
51,female,5,Leo,Art,Extravert,Optimist,5,9,8,1,run,Sport,dog,Fun,Sweet,Scientist,Telepathy
74,female,4,Cancer,Art,Introvert,Optimist,2,10,20,6,running,Sport,art,thoughtful,friendly,paleontologist,invisible
163,female,5,Scorpio,Science,Don't Know,Pessimist,6,11,7,1,screen,NA,sleep,happy,good,rich,
115,female,8,Libra,Art,Extravert,Optimist,4,8,12,0,singing,Sole,friends,fun,happy,doctor,death ray
91,male,5,Scorpio,Gym,Extravert,Pessimist,4,9,6,7,Skateboard,Sport,Videogames,Gamer,Smart,Programmer,All Powers
111,female,7,Libra,Math,Introvert,Optimist,2,9.5,4,8,sleeping,Sole,playing sports,smart,active,sergeon,Read minds
117,male,8,Capricorn,Art,Introvert,Don't Know,3,10,10,0,sleeping,Sole,reading,funny,annoying,window washer,infinite knowledge
18,male,8,Scorpio,Gym,Introvert,Optimist,4,8,10,0,soccer,Sport,ps4,awesome,amazing,rich,regeneration
19,male,8,Cancer,Math,Introvert,Optimist,2,9,10,3,soccer,Sport,ps4,funny ,smart,soccer player,reading minds
52,female,6,Taurus,Gym,Extravert,Optimist,1,10,10,1,soccer,Sport,read,pretty,sporty,entrepreneur,speed
73,male,6,Cancer,Gym,Introvert,Optimist,1,9,21,1,Soccer,Sport,Playing w/ sister,Active,Athletic,Soccer Plyer,Amazing At Everything
80,male,4,Aquarius,Science,Extravert,Pessimist,2,8,9,4,soccer,Sport,sing on a couch,friendly,creative,author,invisible
123,male,8,Virgo,History,Don't Know,Optimist,1,9,6,5,soccer,Sport,tennis,funny,athletic,soccer player,
134,male,8,Aries,Science,Extravert,Pessimist,2,10,7,7,soccer,Sport,hockey,athletic,intelligent,engineer,invisible
148,Don't Identify,5,Aries,History,Extravert,Pessimist,3,10,5,4,soccer,Sport,video games,hungry,friendly,teacher,telephathy
159,male,5,Capricorn,Gym,Extravert,Optimist,1,8,16,5,soccer,Sport,tv,funny,loyal,author,teleportation
171,female,4,Aries,Gym,Don't Know,Optimist,1,10,8,1,soccer ,Sport,playing with brother,active ,tall,interior designer,super speed
6,male,4,Pisces,Gym,Extravert,Optimist,2,9,20,2,sports,Sport,playing with friends,funny,active,professional hockey player,fly
14,male,7,Leo,Gym,Extravert,Don't Know,5,8,14,4,sports,Sport,idk,living,annoying,sports analyst,time travel
15,male,8,Sagittarius,Gym,Don't Know,Optimist,6,9,25,2,sports,Sport,tv,athletic,energetic,athlete,strength
35,female,7,Gemini,Gym,Don't Know,Optimist,3,8,7,5,sports,Sport,reading,creative,curious,arcitect,fly
39,male,8,Taurus,Math,Extravert,Optimist,2,9,10,3,sports,Sport,video games,tall,asian,lawyer,munipulate time
40,male,8,Aquarius,Gym,Extravert,Pessimist,2,9,9,3,sports,Sport,summer school,funny,energitic,sergent,invincible
47,male,5,Gemini,Gym,Extravert,Optimist,2,10,11,2,sports,Sport,playing video games,empathetic,kind,sports journalist,invisibility
68,male,6,Cancer,Gym,Extravert,Optimist,1,10,12,3,Sports,Sport,Friends,Active,Cool,Athlete,Flying
84,male,4,Pisces,Gym,Don't Know,Optimist,1,10,28,0,Sports,Sport,Videogames,Active,Smart,I don't know,Invisibility
86,male,4,Scorpio,Gym,Extravert,Optimist,1,8,10,2,Sports,Sport,Relax,Happy,Active,Baseball Player,Speed
101,female,5,Leo,Math,Introvert,Optimist,4,9,11,8,sports,Sport,netflix,funny ,athletic,software designer,never tired
105,male,7,Aquarius,Gym,Extravert,Optimist,4,9,26,1,Sports,Sport,Beating friend,Annoying ,stuburn,baseball player,Fly
133,male,6,Virgo,Math,Introvert,Optimist,0,5,40,1,Sports,Sport,Play with Friends,Fun,Extreverted,Athelete,Flight
160,male,5,Capricorn,Gym,Extravert,Don't Know,2,9,11,4,sports,Sport,video games,fun,caring,engineer,invisibility
22,female,6,Virgo,Science,Introvert,Don't Know,1,8,5,2,sports ,Sport,phone ,sporty,smart,scientist,shape shift
25,female,6,Pisces,Science,Extravert,Optimist,1,8,7,4,sports ,Sport,talk,fun,kind,teacher,telaport
41,male,5,Pisces,Math,Don't Know,Pessimist,1,9,9,4,staring blankly into space,Sole,looking at nothing,simple,n/a,mechanic,invisibility
102,male,6,Aries,Art,Introvert,Pessimist,3,8,10,3,talk with friends,Social,youtube,agressive,calm,computer designer,E.S.P.
158,female,5,Capricorn,Math,Extravert,Don't Know,4,10,7,3,trampoline,Sport,baking,happy,annoying,doctor,mind reading
12,female,4,Scorpio,Math,Don't Know,Optimist,1,10,5,0,tv,Multimedia,lego,caring,responsible,idk,teleportation
93,male,5,Virgo,Gym,Extravert,Don't Know,5,8,5,7,Tv,Multimedia,Guitar,Gamer,Annoying,Soldier,All Powers
155,female,5,Sagittarius,Science,Don't Know,Pessimist,4,9,15,1,tv,Multimedia,you tube,clueless,funny,engineer,flying
157,male,5,Aries,Science,Don't Know,Pessimist,7,8,10,0,tv,Multimedia,basketball,talkative,witty,biologist,time travel
3,male,4,Taurus,Math,Introvert,Optimist,4,9,22,1,video games,Gaming,soccer,active,creative,professional soccer player,powerful kick
4,male,4,Aquarius,Math,Don't Know,Don't Know,3,9,9,1,video games,Gaming,sports,active,responsible,professional hockey player,teleportaion
8,male,6,Taurus,Math,Extravert,Optimist,4,9,12,21,video games,Gaming,playing outside,fun ,confident,banker,teleportation
9,male,6,Aries,Gym,Introvert,Pessimist,6,8,4,6,video games,Gaming,biking,sad,calm,computer scientist,materialize anything
10,male,6,Pisces,Math,Introvert,Don't Know,3,9,12,3,video games,Gaming,dungeons and dragons,smart,tired,Teacher,manipulating physics
28,male,6,Scorpio,Science,Introvert,Don't Know,3,10,5,5,video games,Gaming,talk,funny,loud,dont know,shape shift
55,male,5,Gemini,Gym,Extravert,Optimist,4,9,12,0,video games,Gaming,outside,cool,awesome,basketball,shape shift
61,male,6,Aquarius,Gym,Introvert,Don't Know,3,8,10,14,Video Games,Gaming,Reading,Childish,Lazy,N/A,All
63,male,6,Gemini,Math,Extravert,Don't Know,3,9,8,3,Video Games,Gaming,Piano,Energetic,Curious,N/A,Conjure
75,male,4,Leo,Art,Don't Know,Pessimist,3,9,7,10,video games,Gaming,drawing,weird,odd,Investment banker,make anything
95,male,3,Capricorn,,Don't Know,Don't Know,1,10,10,0,video games,Gaming,reading,,,pokemon trainer,teleport
96,female,4,Taurus,Art,Don't Know,Don't Know,1,10,15,4,video games,Gaming,lego,loyal,artistic,programmer,remember everything
100,female,5,Sagittarius,Math,Introvert,Pessimist,6,8,5,7,video games,Gaming,internet,jerk,dishonest,,take other powers
103,female,6,Scorpio,Gym,Extravert,Don't Know,3,10,10,5,video games,Gaming,netflix,small,funny,designer,shape shifter
136,male,8,Aries,Gym,Extravert,Optimist,2,10,14,6,video games,Gaming,reading,cheerful,optimistic,n/a,time powers
146,female,4,Cancer,Art,Extravert,Optimist,2,11,,1,video games,Gaming,hockey,different,hungry,buisness person,water
149,male,5,Aries,Math,Extravert,Optimist,3,9,10,7,video games,Gaming,lego,smart,smart,engineer,fast
153,female,5,Sagittarius,Gym,Don't Know,Pessimist,4,4,9,1,video games,Gaming,playing,shy,fun,animater,
154,male,5,Gemini,Gym,Extravert,Optimist,1,10,40,14,video games,Gaming,outdoors,empathetic,observant,doctor,plasma
164,male,6,Virgo,Gym,Extravert,Pessimist,1,10,7,1,video games,Gaming,being happy,weird,korean,millionaire,flying
170,male,4,Aquarius,Art,Extravert,Don't Know,5,10,1,6,video games,Gaming,tree tag,emotional ,kind,baseball player,everything
174,female,4,Virgo,History,Extravert,Pessimist,1,11,2,1,video games,Gaming,reading,friendly,funny,designer,flying
183,male,6,Cancer,Gym,Extravert,Optimist,3,9,11,5,video games,Gaming,playing with friends,fun,energetic,zoologist,super speed
85,male,4,Virgo,Gym,Extravert,Optimist,2,9,30,1,Videogames,Gaming,Playing,Kind,Happy,Programmer,Fire Power
87,male,4,Gemini,Gym,Don't Know,Optimist,2,9,16,3,Videogames,Gaming,Sports,Competetive,Kind,NHL Player,invisibility
126,female,6,Pisces,Gym,Extravert,Pessimist,7,6,7,5,Watch TV,Multimedia,Play with Friends,Chill,Dude,Rich,Mind Reading
129,male,6,Cancer,Gym,Introvert,Pessimist,6,7,7,3,Watch TV,Multimedia,Fortnite,Lazy,Gifted,Teacher,Infinite everything
108,female,7,Cancer,Art,Introvert,Pessimist,4,7,4,12,watching netflix,Multimedia,Hanging with friends,Hilarious,awesome,doctor,Invisible
49,female,5,Leo,Math,Introvert,Optimist,2,10,6,6,watching pokemon,Multimedia,reading,nice,outgoing,lawyer,fly
7,male,3,Scorpio,Art,Introvert,Optimist,1,11,4,14,watching TV,Multimedia,reading,joyful,lazy,artist,telekinesis
46,male,5,Libra,Gym,Extravert,Pessimist,1,11,5,1,watching tv,Multimedia,sports,talkative,caring,athlete,reading minds
179,female,6,Aquarius,Gym,Extravert,Pessimist,6,8,7,0,watching youtube,Multimedia,sleeping,load,energitic,lawyer,mind reading
185,female,6,Gemini,Art,Introvert,Pessimist,5,9,7,9,watching youtube,Multimedia,drawing,tired,smart,artist,
59,female,6,Pisces,Math,Extravert,Optimist,1,9,5,1,with friends,Social,sports,funny,kind,Docter,fly
60,female,6,Taurus,Math,Introvert,Don't Know,1,10,4,0,with friends,Social,read,nice,funny,lawyer,
56,male,4,Scorpio,Gym,Extravert,Optimist,3,10,5,3,xbox,Gaming,reading,cool,active,lawyer,mind controle
92,male,5,Libra,Math,Introvert,Don't Know,4,9,12,5,Youtube,Multimedia,Relax,Active,Smart,Scientist,Teleportation
94,female,6,Scorpio,Math,Don't Know,Pessimist,7,8,8,0,youtube,Multimedia,dancing,sassy,funny,chef,infinity stones
